Month,WeekOfMonth,DayOfWeek,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange-Claim,NumberOfCars
7,1,6,2,2,9,4,1,1,38,1,1,1,6,1,9,400,1,0,1,0,0,0,0,1
7,3,7,1,3,1,4,1,2,21,1,5,2,6,1,4,400,4,0,4,0,0,2,0,1
7,4,6,2,3,8,2,1,2,538,1,2,1,1,1,13,400,1,0,8,0,0,2,0,1
11,2,4,2,5,1,3,1,1,34,1,5,2,6,1,7,400,3,0,7,0,0,2,0,1
11,2,5,2,2,1,1,1,2,38,1,2,1,1,1,7,400,2,1,7,0,0,0,0,1
11,3,2,2,3,1,2,1,2,31,1,7,3,6,1,2,400,1,3,7,0,0,3,0,1
11,4,4,1,2,1,2,1,2,56,1,7,3,6,1,10,400,2,0,8,0,0,0,0,1
11,5,1,2,3,12,1,1,1,68,1,1,1,1,1,9,400,3,2,5,0,0,0,0,1
12,1,5,1,5,12,3,1,1,38,1,1,1,6,1,7,400,3,0,1,0,0,0,0,1
12,1,1,1,2,5,3,1,2,39,1,1,1,2,1,1,400,3,0,8,0,0,3,1,2
12,2,5,2,5,1,2,1,2,33,1,1,1,6,1,12,400,3,0,6,0,0,0,0,1
12,2,1,2,1,1,1,1,2,43,1,1,1,2,1,10,400,2,2,8,0,0,0,4,2
12,3,2,2,1,1,2,1,2,26,1,7,3,6,1,14,400,2,0,6,0,0,1,0,1
12,3,4,2,1,1,1,1,2,39,1,5,2,6,1,13,400,3,0,8,0,0,0,0,1
12,3,5,2,2,1,3,1,2,41,0,1,1,0,1,16,500,3,2,7,0,0,0,3,1
12,3,6,2,1,1,2,1,2,27,1,2,1,6,1,11,400,4,2,4,0,0,1,0,1
12,4,4,1,3,1,1,1,2,41,1,2,1,1,1,1,400,2,1,7,0,0,2,0,1
12,4,4,2,1,1,1,1,2,26,1,2,1,1,1,12,400,2,2,7,0,0,0,0,1
12,4,4,2,2,1,2,1,2,26,1,1,1,1,1,16,400,4,0,6,0,0,2,0,1
12,5,3,2,3,1,1,1,1,43,1,2,1,3,1,1,400,4,2,7,0,0,3,0,1
12,5,5,1,2,1,2,1,2,46,1,1,1,0,1,7,400,1,0,8,0,0,0,1,1
12,5,5,2,2,1,1,1,1,38,1,1,1,6,1,6,400,3,1,1,0,0,0,0,1
12,5,5,2,1,1,2,1,1,38,1,7,3,6,1,14,400,1,1,1,0,0,0,4,2
1,1,6,2,3,1,1,1,1,38,1,2,1,6,1,16,400,4,1,1,0,0,0,0,1
1,1,1,2,3,1,1,1,2,538,1,1,1,1,1,8,400,2,0,7,0,0,0,1,1
1,1,1,2,1,1,2,1,2,61,1,2,1,3,1,6,400,2,2,8,0,0,2,0,1
1,1,2,2,3,1,4,1,1,28,1,1,1,6,1,7,400,3,0,1,0,0,0,0,1
1,1,3,2,1,1,3,1,2,54,1,1,1,6,1,7,400,4,3,8,0,0,2,0,1
11,2,3,2,2,11,3,0,2,29,0,2,1,2,1,10,500,2,2,6,0,0,0,3,1
